x,ms
1,151
2,169
3,181
4,180
5,186
6,200
7,227
8,235
9,235
10,240
11,259
12,263
13,276
14,292
15,354
16,374
17,211
18,235
19,251
20,205
21,247
22,175
23,242
24,124
25,273
26,364
27,274
28,367
29,298
30,322
31,187
32,146
33,291
34,143
35,157
36,206
37,98
38,111
39,187
40,322
41,261
42,185
43,184
44,301
45,150
46,358
47,336
48,303
49,267
50,297
51,235
52,214
53,118
54,162
55,194
56,164
57,258
58,376
59,258
60,193
61,346
62,106
63,162
64,187
65,187
66,250
67,209
68,208
69,299
70,250
71,134
72,173
73,175
74,287
75,194
76,195
77,140
78,216
79,339
80,175
81,150
82,169
83,324
84,126
85,374
86,231
87,261
88,148
89,201
90,259
91,306
92,203
93,182
94,168
95,151
96,184
97,292
98,149
99,204
100,126
