x,fetchms,writems
1,3,44
2,6,44
3,20,40
4,39,51
5,9,40
6,23,41
7,49,39
8,51,51
9,52,45
10,9,40
11,26,63
12,29,75
13,95,47
14,14,47
15,56,47
16,13,49
17,11,43
18,16,36
19,40,45
20,16,56
21,12,50
22,51,46
23,62,40
24,17,46
25,11,47
26,9,46
27,12,41
28,13,45
29,67,42
30,17,44
31,10,36
32,11,38
33,16,43
34,7,34
35,14,40
36,55,37
37,23,45
38,11,35
39,21,42
40,12,44
41,14,41
42,17,37
43,9,50
44,94,41
45,15,33
46,52,36
47,51,42
48,7,44
49,16,52
50,9,39
51,13,35
52,68,48
53,37,47
54,19,39
55,9,39
56,12,51
57,10,40
58,48,37
59,19,46
60,50,46
61,10,33
62,23,35
63,9,42
64,11,40
65,15,55
66,10,38
67,32,38
68,10,33
69,15,35
70,45,35
71,10,40
72,34,35
73,9,34
74,11,32
75,4,34
76,50,46
77,48,48
78,11,35
79,16,33
80,8,33
81,27,34
82,6,39
83,19,40
84,16,35
85,20,32
86,11,35
87,12,34
88,13,35
89,37,34
90,9,34
91,11,33
92,9,32
93,93,40
94,8,34
95,14,37
96,9,37
97,27,34
98,45,33
99,10,34
100,10,31
101,41,35
102,9,32
103,46,33
104,6,32
105,11,32
106,18,33
107,11,36
108,9,30
109,18,32
110,5,33
111,12,32
112,109,43
113,12,35
114,49,34
115,29,36
116,9,33
117,9,33
118,20,33
119,6,32
120,11,34
121,51,32
122,10,33
123,13,35
124,18,43
125,5,38
126,9,38
127,25,42
128,92,41
129,14,33
130,6,34
131,9,33
132,19,34
133,8,33
134,53,32
135,9,30
136,27,34
137,52,34
138,10,33
139,10,32
140,13,34
141,69,34
142,10,39
143,12,32
144,13,32
145,7,31
146,52,35
147,30,36
148,6,33
149,6,35
150,43,36
151,8,34
152,13,31
153,7,33
154,114,38
155,6,34
156,52,36
157,9,32
158,6,35
159,40,32
160,10,30
161,46,37
162,75,34
163,111,37
164,47,36
165,8,33
166,8,34
167,9,33
168,11,36
169,11,31
170,9,35
171,8,32
172,97,38
173,9,32
174,40,32
175,10,34
176,9,33
177,5,32
178,26,45
179,35,32
180,38,35
181,11,34
182,5,33
183,7,32
184,11,34
185,8,43
186,9,35
187,36,32
188,51,36
189,8,33
190,8,36
191,18,36
192,7,44
193,22,39
194,42,38
195,10,35
196,8,34
197,41,38
198,19,36
199,42,33
200,41,31
201,10,35
202,18,32
203,69,38
204,10,31
205,12,31
206,8,35
207,52,42
208,8,32
209,10,31
210,41,31
211,27,32
212,9,32
213,9,31
214,36,32
215,3,34
216,6,32
217,10,33
218,6,32
219,46,34
220,7,33
221,85,36
222,42,39
223,8,32
224,7,31
225,11,34
226,9,34
227,71,43
228,45,37
229,10,36
230,66,43
231,125,33
232,7,31
233,5,31
234,7,32
235,6,32
236,9,33
237,10,32
238,50,34
239,11,34
240,9,33
241,16,33
242,11,36
243,7,32
244,11,36
245,6,31
246,10,33
247,10,36
248,8,34
249,46,36
250,42,35
251,43,36
252,11,34
253,20,34
254,40,35
255,43,39
256,46,36
257,12,36
258,9,34
259,27,36
260,20,32
261,38,34
262,9,32
263,53,34
264,71,41
265,11,32
266,49,33
267,7,33
268,6,31
269,6,32
270,5,30
271,9,34
272,8,35
273,32,32
274,10,32
275,9,36
276,8,31
277,48,34
278,35,38
279,7,32
280,7,32
281,50,32
282,10,33
283,8,32
284,8,40
285,53,32
286,7,30
287,9,33
288,7,31
289,72,33
290,10,32
291,45,34
292,11,31
293,9,30
294,75,44
295,46,35
296,43,33
297,8,32
298,53,41
299,8,35
300,58,33
301,10,31
302,9,32
303,7,33
304,38,33
305,29,35
306,84,32
307,8,31
308,76,36
309,6,40
310,4,30
311,14,32
312,11,34
313,5,34
314,9,36
315,48,31
316,7,40
317,51,33
318,5,33
319,6,33
320,9,33
321,9,30
322,11,33
323,110,46
324,65,39
325,51,40
326,12,32
327,14,32
328,12,36
329,7,33
330,6,32
331,10,32
332,7,31
333,12,31
334,12,37
335,9,34
336,7,31
337,70,35
338,41,32
339,4,31
340,11,32
341,9,34
342,8,31
343,72,34
344,27,34
345,8,32
346,47,32
347,73,33
348,24,33
349,9,31
350,9,35
351,25,33
352,11,33
353,9,30
354,16,31
355,9,35
356,11,41
357,7,32
358,11,32
359,89,42
360,3,33
361,7,33
362,9,34
363,39,33
364,8,33
365,31,34
366,23,31
