x,kbpersecond
1,674796.75
2,645077.7
3,434934.5
4,379573.16
5,698457.25
6,632782.75
7,597122.3
8,704384.7
9,676630.44
10,741071.44
11,613300.5
12,641752.56
13,507645.25
14,443850.28
15,489194.5
16,519290.94
17,539545.0
18,442666.66
19,712446.4
20,645077.7
21,574394.5
22,659602.6
23,608801.94
24,530916.8
25,698457.25
26,609547.1
27,724890.9
28,676630.44
29,662234.06
30,671159.06
31,630379.75
32,668456.4
33,573732.75
34,712446.4
35,511293.66
36,655263.2
37,690707.3
38,622500.0
39,520376.16
40,674796.75
41,651832.44
42,605839.4
43,711428.56
44,534908.7
45,644243.2
46,506097.56
47,593563.75
48,585193.9
49,750000.0
50,610294.1
