x,kbpersecond
1,458141.66
2,428202.94
3,461966.62
4,434934.5
5,421319.78
6,456880.72
7,508682.34
8,436459.22
9,400000.0
10,528101.8
11,497502.47
12,549668.9
13,533762.06
14,473384.0
15,500000.0
16,451495.9
17,524210.53
18,397446.12
19,536637.94
20,410891.1
21,490157.47
22,533762.06
23,482091.0
24,546652.0
25,432291.7
26,541893.4
27,472934.5
28,415692.84
29,486803.53
30,376701.97
31,399358.47
32,533762.06
33,502522.72
34,500502.5
35,468485.44
36,486328.1
37,519832.97
38,414654.47
39,501510.6
40,534908.7
41,533762.06
42,404220.78
43,514462.8
44,404878.03
45,343685.3
46,456880.72
47,440318.28
48,477011.47
49,390588.25
50,430795.84
